Behavior,Look at phone,Talk on phone,Walk by slowly and look at vendor,Point to stalls from a distance,Walk past without looking or slowing,Talk with group while walking,Look around while walking at slow/normal speed,Stop and chat,Wave hands and look for friends,Turn around/change directions,Stand with fingers on mouth,Stand akimbo,Drink beverage,Play with hair,Lean in ,Play with things in hand,Point at items in display,Lean on display/counter,Talk to vendor,Look at menu,Stand on tiptoes,Shift weight to one leg,Tap fingers on counter,Have hands in pockets,Look around while standing,Talk with group ,Stare at cashier/vendor preparing goods,Take out money and hold it,Move purchased items placed on counter closer to self
Male,0.0061,0.0051,0.0693,0.0071,0.0683,0.0306,0.053,0.0173,0.001,0.001,0.002,0.0081,0.0071,0.001,0.0337,0.0081,0.0112,0.0316,0.0459,0.0102,0,0.0071,0,0.0071,0.0194,0.0081,0.0092,0.0102,0.003
Female,0.0031,0.0051,0.0897,0.0112,0.0632,0.0296,0.0601,0.0265,0.001,0.0031,0.0031,0.0051,0.0102,0.0061,0.0357,0.0061,0.0173,0.0204,0.0408,0.0061,0.0031,0.002,0.001,0.001,0.0235,0.0173,0.0112,0.0122,0.0031
